"Name","Starts","Ends","Track","Description","Speaker","Company","Twitter"
"LunchBreak Session 3","06/04/2019 12:00","06/04/2019 13:00","Track 1","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"PSCore6.2 and the Future of PowerShell","06/04/2019 13:00","06/04/2019 14:00","Track 1","PowerShell Core 6.2 enables automation in a consistent way for heterogenous environments.&nbsp; This talk will cover some of the new capabilities in PSCore6.2, highlights from the community, and lessons learned from this Open Source project.&nbsp; In addition, we&rsquo;ll discuss future direction of PSCore6.3+.","Joey Aiello","PowerShell Team","joeyaiello"
"Pester internals and concepts","06/04/2019 13:00","06/04/2019 14:00","Track 2","You learned the syntax of Pester and now you wonder what is behind it? Or maybe, you prefer learning from the bottom up? In any case join me for this session and I will show you the basic building blocks of Pester,  the mechanisms used and how they are implemented.
I will take each fundamental part of Pester (assertions, mocking, test-runner, code-coverage...) and show a minimal implementation of it, to describe the basic idea behind it. Then we will spend some time improving the implementation to be closer to the real implementation in Pester, and talk about the limitations and tradeoffs that needed to be made.

* Updated from last year with more info on scoping, and additional info on aliases and how the can be used to mock inside of self-contained scripts.","Jakub Jareš","CN Group s.r.o. ","nohwnd"
"PSCore6.2 and the Future of PowerShell","06/04/2019 13:00","06/04/2019 14:00","Track 1","PowerShell Core 6.2 enables automation in a consistent way for heterogenous environments.&nbsp; This talk will cover some of the new capabilities in PSCore6.2, highlights from the community, and lessons learned from this Open Source project.&nbsp; In addition, we&rsquo;ll discuss future direction of PSCore6.3+.","Steve Lee","PowerShell Team","Steve_MSFT"
"Supercharge your command line productivity with PSReadLine","06/04/2019 13:00","06/04/2019 14:00","Track 3","When you visit this session, you will learn how to use PSReadLine effectively to reduce your keystroke count when working from the command line.&nbsp;<br />You probably know that PSReadLine gives you syntax highlighting and history searching, but in this session I'll show how you some advanced multi-line editing techniques as well as how you can run PowerShell scriptblocks against your command line input to really supercharge your productivity. PSReadLine is probably one of the most underused modules that have shipped with PowerShell since v5.0. A lot of people are aware of history searching and syntax highlighting, but this session will show the true strength of PSReadLine. We will see how you can use PowerShell script blocks to run actions against, and modify the current input to the command line via key handlers and the PSConsoleReadLine object, as well as some handy tips and tricks to make using the command line a much more productive experience.","Anthony Allen","Snow Software","psadm"
"Coffee Break","06/04/2019 14:00","06/04/2019 14:15","","","","",""
"Malicious Payloads vs Deep Visibility: A PowerShell Story","06/04/2019 14:15","06/04/2019 15:15","Track 1","PowerShell has surged in popularity for automation enthusiasts & malware authors alike. Come experience a technical buffet of in-the-wild malicious PowerShell payloads from 4+ years of Incident Responses & see why PowerShell’s defensive visibility is now driving many attackers away from PowerShell.
For over a decade PowerShell has empowered administrators, DevOps practitioners and automation enthusiasts to accomplish significant tasks with relative ease. However, malicious threat actors have also harnessed PowerShell’s capabilities by writing extensive offensive tools and frameworks in PowerShell.

The PowerShell team has countered these malicious trends with adding numerous defensive enhancements to PowerShell including extremely deep logging visibility (like ScriptBlock, Module and Transcription logging) as well as blocking capabilities and interfaces like the AntiMalware Scan Interface (AMSI).

This talk draws from over four years of Incident Response experience to lay out a technical buffet of in-the-wild malicious PowerShell payloads and techniques. In addition to diving deep into the mechanics of each malicious example, this presentation will highlight forensic artifacts, detection approaches and the deep visibility that the latest versions of PowerShell provides security practitioners to defend their organizations against the latest attacks that utilize PowerShell.

So if you are new to security or just want to learn about how attackers have used PowerShell in their attacks, then this talk is for you. If you want to see what obfuscated and multi-stage, evasive PowerShell-based attacks look like under the microscope of PowerShell deep inspection capabilities, this talk is for you. And if you want to see why these security advancements to PowerShell are causing many attackers to shift their tradecraft development away from PowerShell, this talk is for you.","Daniel Bohannon","MANDIANT/FireEye","danielhbohannon"
"PDF Hacks with PowerShell","06/04/2019 14:15","06/04/2019 15:15","Track 3","When you visit this session, you will be able to manipulate content from PDF documents and manage PDF manipulation directly from PowerShell.<br />Do you work with PDFs on a regular basis and want to automate your processes with PowerShell? Then this talk is right for you. You will learn how to create and manipulate PDF files in PowerShell with the .NET PDF library iTextSharp and we will cover a range of PDF functionality with PowerShell Do you work with PDFs on a regular basis and want to automate your processes with PowerShell? If you think that PDFs are slow to load, slow to print, unsearchable and that you cannot cut and paste from a PDF with PowerShell then this talk is right for you. After this, you will learn how to create and manipulate PDF files in PowerShell with the free .NET PDF library iTextSharp. We will cover a range of PDF functionality with PowerShell, from the simple to the more complexe.","Christian Imhorst","BSH Hausgeräte GmbH","datenteiler"
"Creating and managing AWS Infrastructure with PowerShell","06/04/2019 14:15","06/04/2019 15:15","Track 2","In this session we will present a deep dive into techniques and services to &nbsp;create and manage AWS cloud infrastructure. We will demonstrate using just the AWS Tools for PowerShell as well as cover approaches using PowerShell in conjunction with other AWS services and technologies such as Systems Manager, CloudFormation and Serverless approaches. Once created, we will also discuss and demonstrate options and best practices for monitoring your infrastructure.","Martin Beeby","Amazon","thebeebs"
"Coffee Break","06/04/2019 15:15","06/04/2019 15:30","","","","",""
"Generating infrastructure documentation (Word, Excel, SQL) for AD, Exchange, Office 365 in couple of steps","06/04/2019 15:30","06/04/2019 16:30","Track 3","Documentation in IT is a single most neglected topic in almost all companies. And even if documentation exists it’s heavily outdated. What if you could create AD, Exchange and Office 365 documentation that is always up to date? Delivered to your file share, email on weekly basis?
This talk is based on PSWinDocumentation module which is the module I’ve created. When I created documentation for my systems I noticed that it never survived the test of time. After a few weeks, months it was always outdated. Things changed, few things happened and updating it over and over again was just too time-consuming. PSWinDocumentation (https://github.com/EvotecIT/PSWinDocumentation) can deliver Word and Excel documents (along with SQL export if needed) for your Active Directory, Exchange, Office 365 so it’s always up to date.","Przemys?aw K?ys","","przemyslawklys"
"DSCPullServerAdmin - An Admin module for DSC PullServer Database management","06/04/2019 15:30","06/04/2019 16:30","Track 2","After this session, you will know how you can &ldquo;migrate&rdquo; your existing Pull Servers based on edb or mdb database to the new SQL backed Pull Server running on Server 1803/2019 with some help from DSCPullServerAdmin! (Also some internals and other management tasks will be discussed/demoed)
Are you still running a Pull Server using MDB or EDB and want to move to the new SQL backend? This module got you covered! It also supports the full suite of tasks you can think off for all the supported Database types. Come and see how easy it has become to manage your Pull servers and migrate to other formats when needed!","Ben Gelens","Inspark B.V.","bgelens"
"Cloudify your Windows fileserver","06/04/2019 15:30","06/04/2019 16:30","Track 1","In this session you will get to know what Azure File Sync is and how you can take advantage of it if your file servers isn`t going anywhere any time soon &ndash; of course you will also get to see how the setup and configuration can be fully automated using PowerShell.<br />Still having file servers on-prem? In this session we will look at how to cloudify your file servers by leveraging Azure File Sync - a new service making it possible to tier data to Azure, totally transparent to end users and applications. Still having file servers on-prem? Even if users has moved to Sharepoint or other modern platforms? Hosting several TBs of data for file servers on your shiny all-flash SAN might be very overkill, but that's the reality for many companies due to legacy applications which won`t go away anytime soon. In this session we will look at how to cloudify your file servers by leveraging Azure File Sync - a new service making it possible to tier data to Azure, totally transparent to end users and applications. The service can even replace Distributed File System Replication (DFS-R)! You will also get to see how to fully automate the setup of a Windows Server 2019 file server running Server Core using PowerShell.","Jan Egil Ring","","JanEgilRing"
"","","","","","Jan Egil Ring","","JanEgilRing"
"Coffee Break","06/04/2019 16:30","06/04/2019 16:45","","","","",""
"YAML Engineering for PowerShellers","06/04/2019 16:45","06/04/2019 17:45","Track 2","Join this session to learn the YAML format, advanced use-cases in DevOps context, and how to use it in your PowerShell scripts!<br /><br />While JSON is the go-to format for APIs and system to system communication, YAML is becoming the first choice for configuration files, and for good reasons: it's terse, descriptive, and declarative! <br /><br />Come and learn why it's the first choice for DevOps tooling and how to work with YAML in PowerShell! Whether it's for configuration management (Ansible, Chef attributes, Puppet Hiera, DSC Datum), CI tools configuration (Azure DevOps, AppVeyor, Gitlab CI) or other tools enabling DevOps practices (gitversions, Test-Kitchen), YAML is growing in popularity. <br /><br />Even the PowerShell team is wondering if they should provide ConvertFrom-Yaml &amp; ConvertTo-Yaml as built-in commands in PowerShell Core (#3607)! In this session, we'll demystify the format, show where and why it really shines, along with the existing PowerShell tooling to create, modify and consume YAML files and explore some use cases you might come across. <br /><br />After you watched this, you will be able to write YAML files painlessly and understand how they relate to PowerShell objects when using the powershell-yaml module. You will get familiar with the manipulation possible, how to serialise objects to YAML, update your files, and understand some differences with the more common JSON and PSD1 format, along with the benefits of YAML in a DevOps context. You will also get a quick overview of some advanced usage of YAML for configuration data, similar to what Puppet Hiera uses, made possible by the Datum module. <br /><br />You'll see how to access file data in ways similar to key/value stores, accessible via the dot notation (as object oriented programming do), and some advanced lookup capabilities and data merging features that can remind you of the Group Policy Object tree and inheritance.","Gael Colas","","gaelcolas"
"Creating and hosting beautiful websites with PSHTML & Polaris","06/04/2019 16:45","06/04/2019 17:45","Track 1","Without the right tools, building a website or creating simple HTML reports can be a dauting task. PSHTML simplifies this proces by providing a HTML DSL for PowerShell. When combined with Polaris, it shines even more, and allows to create beautifull looking sites using the Powershell language only. Generating HTML from Powershell is not new, and has been possible since the first version of Powershell. With the introduction of PSHTML, it simply got to the next stage. In this session you will learn How PSHTML will change your way of creating HTML reports and even teach you how to create and host your own Website(s), all from within the Powershell prompt. You will learn that this process has radically changed, is now standardized and became piece of cake to do (and of course, super fun! ;)) Technologies such as PSHTML, Polaris, Polwershell classes, NodeJS, HTML (Some Javascript) will be presented / discussed during this talk.","Stéphane van Gulick","","stephanevg"
"RegEx 4.0 - ^(?&#x3C;pp&#x3E;a )?must-have tool(?(pp)|s)$ ","06/04/2019 16:45","06/04/2019 17:45","Track 3","Another RegEx medium-deep dive, focused on reusable tools and patterns (pun definitely intended). RegEx is versatile and awesome, but many fear it's write-only nature and steep learning curve. In this talk we'll abstract away common patterns into reusable PowerShell tools and discuss their benefits .NET Regex is an awesomely powerful string matching engine, and it offers us the ability to quickly parse and test variable string input. But it's learning curve is steep, it's features mindbending and convoluting, and we all know how you can never remember that one construct that you're sure what just do the trick! So let's have a look at meaningful ways to incorporate regex' power into more user-friendly PowerShell-based utilities! I expect this presentation to be more fun than technically enlightening (assuming the audience will find mind-bending regex tricks ""fun"")","Mathias Jessen","",""
"Evening Event Come Together","06/04/2019 17:45","06/04/2019 18:30","","","","",""
"Walk to Zoo","06/04/2019 18:30","06/04/2019 18:45","","We meet to walk to the Zoo Event as a group. Make sure you bring your badge, it's your ticket to the Zoo! The walk is about 5 minutes. If you cannot walk, you can take the tram or a cab. It's a distance of approximately 1km / 0.6mi. <br />If you'd rather like to check into your hotel first, or refresh yourself, please feel free. Just make sure you are at the Zoo main entrance by 18:45 (Address:&nbsp;<span>Adenauerallee 3,&nbsp;</span><span>30175 Hannover)<br />You don't need to bring any money: all drinks, food &amp; desert are on us.</span>","","",""
"Evening Event Zoo","06/04/2019 19:00","06/04/2019 23:59","","Don't miss our great Evening Event at the Zoo Hannover! Just bring your badge, it is your ticket to the Zoo and all services. No money needed: all drinks (alcoholic and non-alcoholic), delicious eat-until-you-blast dinner (including but by far not limited to vegetarian diet), and tasty deserts (coffee specialties, hand-made ice cream, etc.) are on us. <br />The Zoo Event is the perfect place to calm down and hang out after a busy first day, get in touch with fellow delegates and speakers. If you are new to psconf.eu and travelling alone, don't worry: enjoy our country receptions, and make friends with fellow professional PowerShellers from your region. As the evening progresses, we all typically merge into one friendly group of friendly people from many many countries.&nbsp;<br />Stay as long as you please. The event does close at 1am so you have a bit of sleep until the next sessions start at 8:30am.&nbsp;<br />Guest tickets are available. If you'd like to bring along your partner or friends, please approach our friendly staff any time during day 1. Guest tickets are EUR 80,- which is the price we pay the Zoo.","","",""
"Lessons from PSCore6 Release Automation","06/05/2019 08:30","06/05/2019 09:30","Track 2","The PowerShell team has invested time and resources to build out automation leveraging Azure and, of course, PowerShell to make releases more consistent, efficient, compliant, and with quality.&nbsp; Learn the challenges of concurrent releases across multiple platforms, how we overcame them, and how you can leverage our tooling for your own projects.","Steve Lee","PowerShell Team","Steve_MSFT"
"Creating Microsoft Word documents without Word installed","06/05/2019 08:30","06/05/2019 09:30","Track 3","This session is about creating Microsoft Word documents in PowerShell. It's easy, intuitive and allows for creating Word documents even on workstations or servers where Word is not present. After this session, you will be able to create both simple and more advanced Word documents with code.
For past few years when you wanted to create Word documents in PowerShell, you had to use COM objects to create any Word documents. It required Word to be installed on a workstation and was subject to many issues if people were working on that workstation. After this session, you will be able to create Word documents - from simple ones to more complicated - allowing you to help your colleagues from work to automate few things that were not possible before, or were subject to potential issues. The talk will be based on https://github.com/EvotecIT/PSWriteWord module which is my work.","Przemys?aw K?ys","","przemyslawklys"
"Tracking Activity and Abuse of PowerShell","06/05/2019 08:30","06/05/2019 09:30","Track 1","Many know about PowerShell logging of actions and how they are being leveraged by EDR and SIEM vendors but still many do not know how to leverage the information in this events outside the ScriptBlock event.
The addition of more visibility in to PowerShell actions with Windows PowerShell 4.1 and 5.0 with new EventLogs and AMSI greatly aided defenders and vendors in the detection, tracking and blocking of techniques that leverage PowerShell. Presentation will cover why security professionals both defense and attack simulation love PowerShell and will also cover some of the most common techniques in leveraging PowerShell, how the event log entries from version 2.0 all the way to 6.x can be leverage to track activity and abuse.","Carlos Perez","","Carlos_perez"
"Coffee Break","06/05/2019 09:30","06/05/2019 09:45","","","","",""
"PowerShell on RaspberryPi - Let's open a door for your PowerShell ideas","06/05/2019 09:45","06/05/2019 10:45","Track 3","In this session we will get to know the Pi better, why and how it can run PowerShell and discuss what can and cannot be achieved when they join forces. Debugging will also be coveredPumped about RaspberryPi? Did you know that it can run PowerShell? In this presentation we will get to know the Pi better, why and how it can run PowerShell and discuss what can be achieved when they join forces. Debugging will also be covered, as it is incredibly useful and convenient. IoT is trending. PowerShell is trending. RaspberryPi is a credit card-sized affordable computer that is used on many different projects, and now you can integrate PowerShell on them. In this presentation I will: - Introduce RaspberryPi; - Explain why can it run PowerShell; &ndash; Demonstrate how easy it is to setup PowerShell on a Raspberry Pi; &ndash; Tell you how and why this is cool; &ndash; Show the benefits and limitations; - Demonstrate how to debug a script running on the raspberry; - Give a sneak peak on using PowerShell to interact with sensors;","Daniel Silva","Qevo","DanielSilv9"
"Test infrastructure as code?","06/05/2019 09:45","06/05/2019 10:45","Track 2","Deep dive into infrastructure as code testing. ARM template, design, development, test and release. How to test your Infrastructure as code implementation with PowerShell using Pester and Azure DevOps.
# Introduction
We are going to look at how cloud automation, infrastructure as code can be structured and used as a software development process.
Taking a common software development approach we are going to look at each phase and see which tools can be used to accomplish each phase. The ideas are based on the lessons learned of an actual infrastructure as code project. 
		
# Abstract
This session will dive deep into the testing approach of an infrastructure as code project written in PowerShell. We will create a PowerShell module that will allow us to deploy an infrastructure as a service resource using a template. The solution will be fully tested, including unit test of functions, templates, integration and an end to end test.
 
# Tools
Leveraging tools like Pester, Script Analyzer, Best Practices Checker, Azure DevOps and custom scripts to create a mature and reliable infrastructure as code solution.

# Objectives
At the end of this talk you will be able to: 

*   create your own test suite for your infrastructure as code project. 
*  can articulate why infrastructure as code testing is necessary and can increase you quality of delivery. 
*  get started with your next infrastructure as code project quicker and much more mature.","Mark Warneke","Microsoft Deutschland","mark_mit_k_"
"HoneyBotting: Extracting confessions from client-side implants","06/05/2019 09:45","06/05/2019 10:45","Track 1","While worms and automated attacks are a huge danger, persistent attacks that leverage interactive remote command and control servers can be especially damaging. But control of a remote machine requires one major thing: cooperation of the compromised. What if our machines don&rsquo;t play along? ?? While worms and automated attacks are a huge danger, persistent attacks that leverage interactive remote command and control servers can be especially damaging. But control of a remote machine requires one major thing: cooperation of the compromised. What if our machines don&rsquo;t play along? ??","Lee Holmes","Microsoft","Lee_Holmes"
"Coffee Break","06/05/2019 10:45","06/05/2019 11:00","","","","",""
"Custom Pester assertions are the vocabulary of your tests","06/05/2019 11:00","06/05/2019 12:00","Track 2","Pester ships with multiple useful assertions, but you are not limited to using just them. Learn how to extend the Should keyword, or write your own assertion suite altogether which will better represent what you are testing and make your test more readable.
Pester assertions are great, but often they are very limiting. When testing something out of ordinary, people often fallback to using Should -Be $true, which makes their tests fail with something like ""Expected True but got False."". This message does not describe any context of why the test failed, and the test code itself also leaves a lot to be desired in terms of readability. To avoid this I will show you how to extend the Should keyword with custom operators such as Should -BeInRange -Min 0 -Max 10, to better represent what you are testing. This will also help you to get rid of a lot of boiler plate code. And then we will have a look at writing your own assertion suite, testing it and plugging it into Pester.","Jakub Jareš","CN Group s.r.o. ","nohwnd"
"We trust in the community","06/05/2019 11:00","06/05/2019 12:00","Track 1","PowerShell community is the best out there. Several product teams at Microsoft envy this. This session demonstrates this fact using some interesting examples from the community!
50% of the pull requests in the PowerShell GitHub repository are from the community! No kidding. This alone speaks a lot about the strength and talent in the PowerShell community. Apart from these pull requests, there are several hundreds of community developed PowerShell modules in the open source that are used by another several hundreds or thousands of people. This session show cases some very useful PowerShell modules developed by the community by demonstrating real-world use cases.","Ravikanth Chaganti","PowerShell Magazine","ravikanth"
"A Palantir in your Hands! - WEF","06/05/2019 11:00","06/05/2019 12:00","Track 3","How to set up basic Windows Event Collector servers using Palantir guidance. How Azure Log Analytics can help you see through Enemy's actions! After this session you'll understand what WEF is and how to set up all moving blocks. Just deploy and use!
WEF is free log forwarding solution from Microsoft. Yet it's not widely deployed. Adding some automation to deploy it with Palantir guidance and Azure as an option to analyze the stream of data!","Mateusz Czerniawski","",""
"Lunch Break","06/05/2019 12:00","06/05/2019 13:00","","","","",""
"LunchBreak Session 4","06/05/2019 12:00","06/05/2019 13:00","Track 2","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"LunchBreak Session 5","06/05/2019 12:00","06/05/2019 13:00","Track 3","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"LunchBreak Session 6","06/05/2019 12:00","06/05/2019 13:00","Track 1","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"PowerShell Core - from an OP's perspective","06/05/2019 13:00","06/05/2019 14:00","Track 3","PowerShell Core and VScode became shining stars in the hands of all those PowerShell hipsters who take pride in taking two steps at a time. 
But what about the busy IT admin trying to keep his eco system running? Where does he/she benefit from the next gen shell?
PowerShell Core and VScode became shining stars in the hands of all those PowerShell hipsters who take pride in taking two steps at a time. 
But what about the busy IT admin trying to keep his eco system running? Where does he/she benefit from the next gen shell?

We will talk about the latest improvements in PowerShell Core, also talking about the differences and challenges  on any supported OS. We will have a very close look on the module support in PwSH, focussing the **""Windows Compatibilty module"" (aka rModule)** and the ability to do daily tasks such as creating AD Users or Exchange mailboxes. And we will talk about **remoting**: from ANY client to ANY server - vision or reality?","Thorsten Butz","Thosten Butz Consulting","thorstenbutz"
"Replicating SharePoint Data from Anywhere to Anywhere using PowerShell","06/05/2019 13:00","06/05/2019 14:00","Track 2","Imagine if there you could pipe CSV or SQL query data right into a SharePoint list. Or export SharePoint list data to SQL Server or a whole different SharePoint farm. PowerShell and CSOM make it possible and fun. An MIT-licensed module makes it free. As a former SharePoint administrator and developer who became proficient at PowerShell, I had the chance to create the data replicator of my dreams; one that even includes preserving author/editor, timestamps and more. Join me as I demonstrate how easy it is to migrate SharePoint list data from on-prem to the cloud and back again.","Chrissy LeMaire","NATO Special Ops HQ","cl"
"Use PowerShell for prototyping","06/05/2019 13:00","06/05/2019 14:00","Track 1","In this presentation you will be inspired to use your PowerShell knowledge to create a first prototype for your application in Azure has benefits.<br />The journey from concept to market is typically a long road riddled with hidden obstacles and unforeseen turns. Why not use PowerShell to create a prototype? With your PowerShell knowledge you can create a first Minimal Viable Product and start gathering feedback from your customers.<br />A prototype is an early sample, model or release of &nbsp;products built to test a concept or process or to act as a thing to be replicated or learned from. With your first PowerShell created prototype you are able to get feedback fast without too much development effort.","Stefan Stranger","","sstranger"
"Coffee Break","06/05/2019 14:00","06/05/2019 14:15","","","","",""
"PowerShell in Azure Functions ","06/05/2019 14:15","06/05/2019 15:15","Track 2","Azure Functions is a serverless platform that enables you to write code without having to worry about managing infrastructure. Learn about how PowerShell is being integrated with Azure Functions to make it easier than ever to execute your scripts in the cloud.","Joey Aiello","PowerShell Team","joeyaiello"
"","","","","","Tyler Leonhardt","Microsoft","TylerLeonhardt"
"Lean on me: Managing dependencies in PowerShell","06/05/2019 14:15","06/05/2019 15:15","Track 2","There are tons of great modules around that we can make use of in our PowerShell scripts and modules but how do we document what we're using and ensure it is available where we need it? At the end of this session you'll have a good idea about how to do just that.
When writing PowerShell scripts and modules we often want to make use of external functions and commands so that we don't have to duplicate existing work, however ensuring these dependencies are available on the systems running our code isn't always straightforward or obvious. In this session we'll look at a variety of methods of handling dependencies in PowerShell modules and scripts, from ensuring you have them when developing, enabling testing in Continuous Integration tools, and getting them to your endpoints where they are needed.","Chris Gardner","Section8Games","halbaradkenafin"
"Last Night a PowerShell DJ Saved My Life","06/05/2019 14:15","06/05/2019 15:15","Track 3","This will be fun! I will actually create a virtual MIDI controller. So there will be talk about how MIDI works. Using powershell to control traktor DJ app including a 2 communication (so powerShell knows every beat and tempo etc. to make stuff happen in sync with music!).
Automate your DJ set! 
Have more time for dancing and waving to the fans!
Just enjoy, no more actual work!
Learn how to be a real DJ super star!
Warning! This session can contain traces of heavy beats!","Jakob Gottlieb Svendsen","","JakobGSvendsen"
"Coffee Break","06/05/2019 15:15","06/05/2019 15:30","","","","",""
"The PowerShell CDK DSL and Infrastructure as Code","06/05/2019 15:30","06/05/2019 16:30","Track 2","TBD","Kenneth Hansen","Amazon","KhansenHansen "
"Pester + Azure (Monitor + Automation)","06/05/2019 15:30","06/05/2019 16:30","Track 3","Manage and run your Pester tests on-premises and let Azure work for you! After this session you'll be able to set up an OVF Server with Pester checks and let Azure Log Analytics, PowerBI and Azure Automation work for you! With a bonus - a configuration library and git-enabled documentation!
Using Pester tests for Operation Validation is not a new concept. But adding a bit of Azure adds a new flavor. Log Analytics makes storing , viewing and navigating through the results in time a bit easier. Azure Monitor helps with alerting and Azure Automation with remediation, while PowerBI shines like a star!","Mateusz Czerniawski","",""
"TBA","06/05/2019 15:30","06/05/2019 16:30","Track 1","TBA","Aleksandar Nikolic","PowerShell Magazine","alexandair"
"Coffee Break","06/05/2019 16:30","06/05/2019 16:45","","","","",""
"Enhancing DSC with Puppet","06/05/2019 16:45","06/05/2019 17:45","Track 2","Although you can use DSC on its own, it improves with Puppet which provides additional rich management capabilities, including node classification, status of nodes, role-based access control etc. Tracking and reporting change becomes easier - a must for any company requiring compliance auditing.
The talk shows how Puppet extends DSC by providing historical change tracking and reporting including:

 - Configuration results and history are available on the target nodes, as well as in the Puppet server web UI
 - The web UI provides a single interface that shows the status of your environment down to the individual servers.
 - It shows the result of each DSC resource execution and a log of the execution.
 - Reports are held centrally across all nodes allowing you to investigate over time how things change in your environment.

The talk presents an overview of these features giving some concrete examples of actual administration tasks","John O'Connor","",""
"HowTo Audit Active Directory Password usage","06/05/2019 16:45","06/05/2019 17:45","Track 1","When you visit this session, you will learn how to detect if your admins are reusing the credentials on multiple accounts.
Does your company have a policy that dictates administrators needs at least 2 accounts ? Do you think your admins, would use the same password on their admin and regular accounts ? Are any of these passwords on the Troy Hunts HaveIBeenP0wned list ? In this session, I will cover how to extract password hashes from Active Directory to allow further analysis of password usage across a domain. <br /><br />We will cover user accounts with the same password, people who have used the same password multiple times (Admins resetting the password to the same, not adhering to the AD password policy). All the extracted data is stored in SQLite, to ease analysis. This also made it possible to load all 500 million password hashes from HaveIBeenP0wned, to compare them against your user's passwords, to see if anyone have ""insecure"" passwords.","Claus Thude Nielsen","",""
